Rank|Name|Yr|Pos|G|Rec|Yards|Avg|TD|Rec/G|Yards/G|TeamID|Year
13.0|Collin Andrews|FR|WR|7|1|11|11.00|0|0.1|1.6|626|2017
14.0|Chaz Collins|SO|WR|2|1|3|3.00|0|0.5|1.5|626|2017
|Total|||8|104|1315|12.64|8|13.0|164.4|626|2017
|Opponents|||8|110|1409|12.81|9|13.8|176.1|626|2017
1.0|JaQuan Blackwell|FR|WR|8|27|389|14.41|2|3.4|48.6|630|2017
2.0|Bailey Gaither|SO|WR|6|21|314|14.95|4|3.5|52.3|630|2017
3.0|Josh Oliver|JR|TE|7|26|244|9.38|1|3.7|34.9|630|2017
4.0|Tre Walker|FR|WR|8|14|172|12.29|0|1.8|21.5|630|2017
5.0|Tre Hartley|JR|WR|7|14|169|12.07|1|2.0|24.1|630|2017
6.0|Justin Holmes|JR|WR|7|18|156|8.67|1|2.6|22.3|630|2017
7.0|Rahshead Johnson|JR|WR|2|4|93|23.25|2|2.0|46.5|630|2017
8.0|Malike Roberson|JR|RB|8|6|45|7.50|0|0.8|5.6|630|2017
9.0|Tyler Nevens|FR|RB|6|1|31|31.00|0|0.2|5.2|630|2017
10.0|Billy Humphreys|FR|TE|8|3|17|5.67|0|0.4|2.1|630|2017
11.0|Jeremy Kelly|JR|WR|8|2|17|8.50|0|0.3|2.1|630|2017
12.0|Austin Liles|FR|WR|5|1|14|14.00|0|0.2|2.8|630|2017
13.0|DeJon Packer|JR|RB|6|2|12|6.00|0|0.3|2.0|630|2017
14.0|Brandon Mitchell|SR|WR|2|2|11|5.50|0|1.0|5.5|630|2017
15.0|Brandon Monroe|SR|RB|2|2|7|3.50|0|1.0|3.5|630|2017
16.0|Zamore Zigler|SO|RB|8|2|4|2.00|0|0.3|0.5|630|2017
17.0|Francoise Sims, II|FR|RB|5|1|3|3.00|0|0.2|0.6|630|2017
|Total|||8|146|1698|11.63|11|18.3|212.3|630|2017
|Opponents|||8|130|1615|12.42|14|16.3|201.9|630|2017
1.0|Sam Harris|JR|WR|7|24|361|15.04|1|3.4|51.6|646|2017
2.0|Jamarius Way|JR|WR|7|23|356|15.48|2|3.3|50.9|646|2017
3.0|Tra Minter|SO|RB|7|9|173|19.22|1|1.3|24.7|646|2017
4.0|Sa'Mory Collier|SR|WR|7|11|155|14.09|1|1.6|22.1|646|2017
5.0|Malik Stanley|JR|WR|5|10|128|12.80|1|2.0|25.6|646|2017
6.0|Jordan McCray|SO|WR|5|8|68|8.50|0|1.6|13.6|646|2017
7.0|Andrew Reinkemeyer|SR|TE|7|4|47|11.75|0|0.6|6.7|646|2017
8.0|Maaseiah Francis|JR|TE|7|4|43|10.75|2|0.6|6.1|646|2017
9.0|Jahmmir Taylor|JR|WR|4|2|32|16.00|1|0.5|8.0|646|2017
10.0|Kawaan Baker|FR|WR|6|2|25|12.50|0|0.3|4.2|646|2017
11.0|Xavier Johnson|SR|RB|7|4|20|5.00|0|0.6|2.9|646|2017
12.0|Denzel Foster|SR|RB|7|3|15|5.00|0|0.4|2.1|646|2017
13.0|Deonta Moore|JR|RB|7|1|4|4.00|0|0.1|0.6|646|2017
|Total|||7|105|1427|13.59|9|15.0|203.9|646|2017
