Rank|Name|Yr|Pos|G|Rec|Yards|Avg|TD|Rec/G|Yards/G|TeamID|Year
1.0|Trent Sherfield|SR|WR|7|23|399|17.35|2|3.3|57.0|736|2017
2.0|Kalija Lipscomb|SO|WR|7|16|269|16.81|5|2.3|38.4|736|2017
3.0|C.J. Duncan|SR|WR|7|25|234|9.36|2|3.6|33.4|736|2017
4.0|Jared Pinkney|SO|TE|7|13|139|10.69|3|1.9|19.9|736|2017
5.0|Ralph Webb|SR|RB|7|6|122|20.33|1|0.9|17.4|736|2017
6.0|Caleb Scott|SR|WR|6|9|96|10.67|1|1.5|16.0|736|2017
7.0|Donaven Tennyson|SO|WR|5|3|49|16.33|0|0.6|9.8|736|2017
8.0|Sam Dobbs|JR|TE|7|4|37|9.25|0|0.6|5.3|736|2017
9.0|Trey Ellis|SR|WR|7|3|31|10.33|0|0.4|4.4|736|2017
10.0|Khari Blasingame|JR|RB|7|4|26|6.50|0|0.6|3.7|736|2017
11.0|Nathan Marcus|SR|TE|7|4|17|4.25|1|0.6|2.4|736|2017
12.0|Jackson Winrow|FR|WR|1|1|13|13.00|0|1.0|13.0|736|2017
13.0|Jamauri Wakefield|FR|RB|6|2|-1|-0.50|0|0.3|-0.2|736|2017
|Total|||7|113|1431|12.66|15|16.1|204.4|736|2017
|Opponents|||7|102|1193|11.70|9|14.6|170.4|736|2017
1.0|Olamide Zaccheaus|JR|RB|7|49|505|10.31|4|7.0|72.1|746|2017
2.0|Doni Dowling|SR|WR|7|30|393|13.10|4|4.3|56.1|746|2017
3.0|Andre Levrone|SR|WR|7|16|386|24.13|4|2.3|55.1|746|2017
4.0|Evan Butts|JR|TE|7|19|166|8.74|1|2.7|23.7|746|2017
5.0|Joe Reed|SO|WR|6|15|115|7.67|1|2.5|19.2|746|2017
6.0|Hasise Dubois|SO|WR|6|10|65|6.50|0|1.7|10.8|746|2017
7.0|Warren Craft|SO|WR|5|5|55|11.00|0|1.0|11.0|746|2017
8.0|Daniel Hamm|SR|RB|7|18|53|2.94|0|2.6|7.6|746|2017
9.0|Jordan Ellis|JR|RB|7|9|52|5.78|1|1.3|7.4|746|2017
10.0|Ben Hogg|JR|WR|4|2|16|8.00|0|0.5|4.0|746|2017
11.0|Terrell Jana|FR|WR|7|1|12|12.00|0|0.1|1.7|746|2017
12.0|De'Vante Cross|FR|QB|7|1|8|8.00|0|0.1|1.1|746|2017
13.0|Richard Burney|SO|TE|7|1|6|6.00|0|0.1|0.9|746|2017
14.0|Chris Sharp|SO|RB|7|1|0|0.00|0|0.1|0.0|746|2017
|Total|||7|177|1832|10.35|15|25.3|261.7|746|2017
|Opponents|||7|112|1294|11.55|9|16.0|184.9|746|2017
1.0|Cam Phillips|SR|WR|7|47|657|13.98|6|6.7|93.9|742|2017
2.0|Sean Savoy|FR|WR|7|28|360|12.86|3|4.0|51.4|742|2017
3.0|Henri Murphy|JR|WR|5|9|129|14.33|0|1.8|25.8|742|2017
4.0|Dalton Keene|FR|TE|7|9|127|14.11|0|1.3|18.1|742|2017
5.0|C.J. Carroll|JR|WR|5|10|124|12.40|1|2.0|24.8|742|2017
6.0|Travon McMillian|JR|RB|7|7|101|14.43|3|1.0|14.4|742|2017
7.0|Eric Kumah|SO|WR|7|10|98|9.80|1|1.4|14.0|742|2017
8.0|Steven Peoples|JR|RB|4|3|73|24.33|2|0.8|18.3|742|2017
9.0|Chris Cunningham|SO|TE|7|2|65|32.50|0|0.3|9.3|742|2017
10.0|James Clark|SR|WR|4|4|64|16.00|0|1.0|16.0|742|2017
11.0|Deshawn McClease|SO|RB|6|6|53|8.83|0|1.0|8.8|742|2017
12.0|Coleman Fox|SO|RB|6|5|33|6.60|0|0.8|5.5|742|2017
13.0|Samuel Denmark|FR|WR|3|2|28|14.00|1|0.7|9.3|742|2017
14.0|Hezekiah Grimsley|FR|WR|6|2|20|10.00|0|0.3|3.3|742|2017
|Total|||7|144|1932|13.42|17|20.6|276.0|742|2017
|Opponents|||7|92|1308|14.22|8|13.1|186.9|742|2017
1.0|Greg Dortch|FR|WR|7|43|555|12.91|5|6.1|79.3|749|2017
2.0|Tabari Hines|JR|WR|7|16|235|14.69|1|2.3|33.6|749|2017
3.0|Scotty Washington|SO|WR|7|11|206|18.73|2|1.6|29.4|749|2017
4.0|Cam Serigne|SR|TE|7|12|184|15.33|5|1.7|26.3|749|2017
5.0|Cortez Lewis|JR|WR|6|8|120|15.00|0|1.3|20.0|749|2017
6.0|Chuck Wade, Jr.|JR|WR|7|10|113|11.30|0|1.4|16.1|749|2017
7.0|Matt Colburn II|JR|RB|7|7|49|7.00|0|1.0|7.0|749|2017
8.0|Alex Bachman|JR|WR|6|2|36|18.00|1|0.3|6.0|749|2017
9.0|Cade Carney|SO|RB|6|3|31|10.33|0|0.5|5.2|749|2017
10.0|Jack Freudenthal|SO|TE|7|1|26|26.00|0|0.1|3.7|749|2017
11.0|Arkeem Byrd|FR|RB|7|2|13|6.50|0|0.3|1.9|749|2017
12.0|Steven Claude|SO|WR|7|1|13|13.00|0|0.1|1.9|749|2017
13.0|Davis Johnson|FR|WR|2|1|5|5.00|0|0.5|2.5|749|2017
14.0|Isaiah Robinson|JR|RB|2|1|3|3.00|0|0.5|1.5|749|2017
|Total|||7|118|1589|13.47|14|16.9|227.0|749|2017
|Opponents|||7|106|1253|11.82|7|15.1|179.0|749|2017
1.0|Dante Pettis|SR|WR|7|44|472|10.73|6|6.3|67.4|756|2017
2.0|Hunter Bryant|FR|TE|7|21|314|14.95|1|3.0|44.9|756|2017
3.0|Will Dissly|SR|TE|7|12|158|13.17|2|1.7|22.6|756|2017
4.0|Quinten Pounds|SO|WR|7|9|147|16.33|1|1.3|21.0|756|2017
5.0|Chico McClatcher|JR|WR|3|10|128|12.80|0|3.3|42.7|756|2017
6.0|Myles Gaskin|JR|RB|7|11|109|9.91|2|1.6|15.6|756|2017
7.0|Brayden Lenius|JR|WR|7|9|89|9.89|0|1.3|12.7|756|2017
8.0|Aaron Fuller|SO|WR|7|8|78|9.75|0|1.1|11.1|756|2017
9.0|Andre Baccellia|SO|WR|3|6|69|11.50|0|2.0|23.0|756|2017
10.0|Drew Sample|JR|TE|4|4|68|17.00|0|1.0|17.0|756|2017
11.0|Lavon Coleman|SR|RB|6|5|45|9.00|1|0.8|7.5|756|2017
12.0|Jacob Kizer|FR|TE|6|2|17|8.50|0|0.3|2.8|756|2017
13.0|Salvon Ahmed|FR|RB|7|5|16|3.20|0|0.7|2.3|756|2017
14.0|Jusstis Warren|SO|LB|7|1|2|2.00|1|0.1|0.3|756|2017
|Total|||7|147|1712|11.65|14|21.0|244.6|756|2017
|Opponents|||7|142|1147|8.08|3|20.3|163.9|756|2017
1.0|Tavares Martin Jr.|JR|WR|7|37|502|13.57|7|5.3|71.7|754|2017
2.0|Renard Bell|FR|WR|8|23|402|17.48|2|2.9|50.3|754|2017
3.0|Isaiah Johnson-Mack|SO|WR|8|40|376|9.40|3|5.0|47.0|754|2017
4.0|Kyle Sweet|JR|WR|8|31|348|11.23|1|3.9|43.5|754|2017
5.0|James Williams|SO|RB|8|48|321|6.69|3|6.0|40.1|754|2017
6.0|Jamal Morrow|SR|RB|8|29|251|8.66|5|3.6|31.4|754|2017
7.0|Jamire Calvin|FR|WR|8|22|198|9.00|2|2.8|24.8|754|2017
8.0|Dezmon Patmon|SO|WR|8|13|129|9.92|0|1.6|16.1|754|2017
9.0|CJ Dimry|SR|WR|7|10|121|12.10|0|1.4|17.3|754|2017
10.0|Davontavean Martin|FR|WR|8|10|118|11.80|1|1.3|14.8|754|2017
11.0|Gerard Wicks|SR|RB|8|13|65|5.00|0|1.6|8.1|754|2017
12.0|Brandon Arconado|SO|WR|6|2|34|17.00|1|0.3|5.7|754|2017
13.0|Keith Harrington|JR|RB|8|1|13|13.00|0|0.1|1.6|754|2017
|Total|||8|279|2878|10.32|25|34.9|359.8|754|2017
|Opponents|||8|126|1231|9.77|5|15.8|153.9|754|2017
1.0|David Sills V|JR|WR|7|46|737|16.02|15|6.6|105.3|768|2017
2.0|Gary Jennings|JR|WR|7|56|702|12.54|1|8.0|100.3|768|2017
3.0|Ka’Raun White|SR|WR|7|35|494|14.11|6|5.0|70.6|768|2017
4.0|Marcus Simms|SO|WR|6|20|386|19.30|4|3.3|64.3|768|2017
5.0|Kennedy McKoy|SO|RB|6|6|51|8.50|0|1.0|8.5|768|2017
6.0|Reggie Roberson Jr.|FR|WR|5|6|30|5.00|1|1.2|6.0|768|2017
7.0|Justin Crawford|SR|RB|7|7|30|4.29|0|1.0|4.3|768|2017
8.0|Martell Pettaway|SO|RB|7|2|28|14.00|0|0.3|4.0|768|2017
9.0|Ricky Rogers|JR|WR|7|1|26|26.00|0|0.1|3.7|768|2017
10.0|Elijah Wellman|SR|TE|7|2|22|11.00|0|0.3|3.1|768|2017
11.0|Tevin Bush|FR|RB|6|2|10|5.00|0|0.3|1.7|768|2017
12.0|Alejandro Marenco III|SR|WR|1|1|9|9.00|0|1.0|9.0|768|2017
13.0|Druw Bowen|FR|WR|6|1|9|9.00|0|0.2|1.5|768|2017
14.0|Mitch Chugunov|FR|WR|1|1|7|7.00|0|1.0|7.0|768|2017
15.0|Dominique Maiden|JR|WR|3|1|7|7.00|0|0.3|2.3|768|2017
|Total|||7|187|2548|13.63|27|26.7|364.0|768|2017
|Opponents|||7|129|1829|14.18|14|18.4|261.3|768|2017
1.0|Deon Yelder|SR|TE|7|27|337|12.48|3|3.9|48.1|772|2017
2.0|Lucky Jackson|SO|WR|6|24|320|13.33|1|4.0|53.3|772|2017
3.0|Nacarius Fant|SR|WR|7|31|281|9.06|2|4.4|40.1|772|2017
4.0|Xavier Lane|FR|WR|6|20|230|11.50|0|3.3|38.3|772|2017
5.0|Quin Jernighan|SO|WR|7|16|156|9.75|1|2.3|22.3|772|2017
6.0|Kylen Towner|SR|WR|7|10|152|15.20|1|1.4|21.7|772|2017
7.0|Cameron Echols-Luper|SR|WR|6|13|147|11.31|1|2.2|24.5|772|2017
8.0|Jacquez Sloan|FR|WR|4|6|100|16.67|2|1.5|25.0|772|2017
9.0|Kyle Fourtenbary|FR|TE|6|7|90|12.86|0|1.2|15.0|772|2017
10.0|Jakairi Moses|FR|RB|5|10|85|8.50|0|2.0|17.0|772|2017
11.0|Mik'Quan Deane|JR|TE|7|4|70|17.50|1|0.6|10.0|772|2017
12.0|Marquez Trigg|SO|RB|6|9|43|4.78|0|1.5|7.2|772|2017
13.0|Quinton Baker|SO|RB|5|5|32|6.40|0|1.0|6.4|772|2017
14.0|D'Andre Ferby|JR|RB|5|5|23|4.60|0|1.0|4.6|772|2017
15.0|Jahcour Pearson|FR|WR|6|4|16|4.00|0|0.7|2.7|772|2017
16.0|Dalton Ponchillia|SR|WR|2|1|15|15.00|0|0.5|7.5|772|2017
17.0|Devin Nixon|SO|WR|4|1|7|7.00|0|0.3|1.8|772|2017
|Total|||7|193|2104|10.90|12|27.6|300.6|772|2017
|Opponents|||7|121|1365|11.28|4|17.3|195.0|772|2017
1.0|D'Wayne Eskridge|SO|WR|8|28|486|17.36|3|3.5|60.8|774|2017
2.0|Keishawn Watson|SO|WR|8|33|288|8.73|6|4.1|36.0|774|2017
3.0|Donnie Ernsberger|SR|TE|8|22|270|12.27|3|2.8|33.8|774|2017
4.0|Anton Curtis|SO|WR|8|10|108|10.80|0|1.3|13.5|774|2017
5.0|Giovanni Ricci|SO|WR|6|12|100|8.33|0|2.0|16.7|774|2017
6.0|LeVante Bellamy|SO|RB|6|7|54|7.71|0|1.2|9.0|774|2017
7.0|Jon Wassink|SO|QB|8|2|40|20.00|2|0.3|5.0|774|2017
8.0|Jarvion Franklin|SR|RB|8|4|36|9.00|1|0.5|4.5|774|2017
9.0|Tyron Arnett|FR|WR|4|4|30|7.50|0|1.0|7.5|774|2017
10.0|Luke Sanders|FR|WR|8|2|27|13.50|0|0.3|3.4|774|2017
11.0|Darius Phillips|SR|DB|8|2|16|8.00|0|0.3|2.0|774|2017
12.0|Mitch Heimbuch|FR|TE|6|1|11|11.00|1|0.2|1.8|774|2017
13.0|Hunter Broersma|FR|WR|4|1|5|5.00|0|0.3|1.3|774|2017
14.0|Caleb Bailey|SR|LB|8|1|0|0.00|0|0.1|0.0|774|2017
15.0|Jamauri Bogan|JR|RB|8|1|-3|-3.00|0|0.1|-0.4|774|2017
|Total|||8|130|1468|11.29|16|16.3|183.5|774|2017
|Opponents|||8|159|1943|12.22|13|19.9|242.9|774|2017
1.0|Quintez Cephus|SO|WR|7|25|446|17.84|5|3.6|63.7|796|2017
2.0|Troy Fumagalli|SR|TE|6|25|350|14.00|3|4.2|58.3|796|2017
3.0|A.J. Taylor|SO|WR|7|11|168|15.27|2|1.6|24.0|796|2017
4.0|Danny Davis III|FR|WR|6|7|160|22.86|1|1.2|26.7|796|2017
5.0|Zander Neuville|JR|TE|7|5|56|11.20|2|0.7|8.0|796|2017
6.0|Jazz Peavy|SR|WR|5|5|55|11.00|0|1.0|11.0|796|2017
7.0|Jonathan Taylor|FR|RB|7|2|41|20.50|0|0.3|5.9|796|2017
8.0|Chris James|JR|RB|5|5|36|7.20|0|1.0|7.2|796|2017
9.0|Kendric Pryor|FR|WR|3|3|29|9.67|0|1.0|9.7|796|2017
10.0|Kyle Penniston|SO|TE|7|3|28|9.33|0|0.4|4.0|796|2017
11.0|Rachid Ibrahim|SR|RB|7|2|26|13.00|0|0.3|3.7|796|2017
12.0|Bradrick Shaw|SO|RB|6|3|21|7.00|0|0.5|3.5|796|2017
13.0|Alec Ingold|JR|RB|7|2|19|9.50|0|0.3|2.7|796|2017
14.0|Garrett Groshek|FR|RB|7|1|6|6.00|0|0.1|0.9|796|2017
|Total|||7|99|1441|14.56|13|14.1|205.9|796|2017
|Opponents|||7|118|1242|10.53|6|16.9|177.4|796|2017
1.0|Austin Conway|SO|WR|7|35|281|8.03|2|5.0|40.1|811|2017
2.0|C.J. Johnson|SO|WR|7|16|254|15.88|4|2.3|36.3|811|2017
3.0|James Price|JR|WR|4|6|137|22.83|1|1.5|34.3|811|2017
4.0|Josh Harshman|JR|TE|7|8|113|14.13|0|1.1|16.1|811|2017
5.0|John Okwoli|SO|WR|7|10|107|10.70|0|1.4|15.3|811|2017
6.0|Avante' Cox|FR|WR|6|5|79|15.80|0|0.8|13.2|811|2017
7.0|Tyree Mayfield|JR|TE|7|9|76|8.44|0|1.3|10.9|811|2017
8.0|Drew Van Maanen|SR|RB|7|4|65|16.25|0|0.6|9.3|811|2017
9.0|Nico Evans|JR|RB|7|6|49|8.17|0|0.9|7.0|811|2017
10.0|Kellen Overstreet|SO|RB|7|3|39|13.00|0|0.4|5.6|811|2017
11.0|Austin Fort|JR|TE|2|1|20|20.00|1|0.5|10.0|811|2017
12.0|Milo Hall|SO|RB|7|3|16|5.33|0|0.4|2.3|811|2017
13.0|Trey Woods|FR|RB|6|1|6|6.00|0|0.2|1.0|811|2017
14.0|Rico Gafford|SR|DB|7|1|4|4.00|0|0.1|0.6|811|2017
15.0|Josh Allen|JR|QB|7|1|2|2.00|0|0.1|0.3|811|2017
|Total|||7|109|1248|11.45|8|15.6|178.3|811|2017
|Opponents|||7|106|1214|11.45|8|15.1|173.4|811|2017
