Rank|Name|Yr|Pos|G|Att|Comp|Pct|Yards|Yards/Att|Td|Int|Rating|Att/G|Yards/G|TeamID|Year
|Opponents|||7|225|125|55.6|1508|6.7|11|8|120.88|32.1|215.4|709|2017
1.0|Brandon Silvers|SR|QB|7|263|167|63.5|1839|7.0|4|4|124.21|37.6|262.7|716|2017
2.0|Kaleb Barker|SO|QB|7|6|2|33.3|15|2.5|0|0|54.33|0.9|2.1|716|2017
|Total|||7|269|169|62.8|1854|6.9|4|4|122.66|38.4|264.9|716|2017
|Opponents|||7|237|143|60.3|1586|6.7|10|7|124.56|33.9|226.6|716|2017
1.0|Jonathan Banks|JR|QB|6|90|46|51.1|723|8.0|6|2|136.15|15.0|120.5|718|2017
2.0|Johnathan Brantley|SO|QB|5|17|10|58.8|101|5.9|0|1|96.96|3.4|20.2|718|2017
3.0|Khalil McClain|FR|QB|2|3|1|33.3|11|3.7|0|0|64.13|1.5|5.5|718|2017
|Total|||7|110|57|51.8|835|7.6|6|3|128.13|15.7|119.3|718|2017
|Opponents|||7|149|78|52.3|1334|9.0|10|8|138.97|21.3|190.6|718|2017
1.0|Chad President|SO|QB|8|126|71|56.3|809|6.4|2|2|112.36|15.8|101.1|719|2017
2.0|Luke Skipper|FR|QB|4|62|38|61.3|653|10.5|2|2|153.96|15.5|163.3|719|2017
3.0|Team|||4|1|0|0.0|0|0.0|0|0|0.0|0.3|0.0|719|2017
|Total|||8|189|109|57.7|1462|7.7|4|4|125.39|23.6|182.8|719|2017
|Opponents|||8|194|133|68.6|2068|10.7|13|6|174.02|24.3|258.5|719|2017
1.0|McKenzie Milton|SO|QB|6|151|105|69.5|1722|11.4|16|3|196.33|25.2|287.0|128|2017
2.0|Noah Vedral|FR|QB|4|17|15|88.2|123|7.2|0|0|149.01|4.3|30.8|128|2017
|Total|||6|168|120|71.4|1845|11.0|16|3|191.54|28.0|307.5|128|2017
|Opponents|||6|195|105|53.8|1286|6.6|8|10|112.53|32.5|214.3|128|2017
