Rank|Name|Yr|Pos|G|Att|Yards|Avg|TD|Att/G|Yards/G|TeamID|Year
7.0|Michael Carrillo|JR|QB|2|1|3|3.00|0|0.50|1.50|630|2017
8.0|Team|||6|3|-9|-3.00|0|0.50|-1.50|630|2017
9.0|Montel Aaron|FR|QB|5|22|-9|-0.41|0|4.40|-1.80|630|2017
10.0|Sam Allen|SO|QB|5|9|-12|-1.33|0|1.80|-2.40|630|2017
11.0|Josh Love|SO|QB|7|18|-55|-3.06|0|2.57|-7.86|630|2017
|Total|||8|290|938|3.23|1|36.25|117.25|630|2017
|Opponents|||8|444|2226|5.01|26|55.50|278.25|630|2017
1.0|Xavier Johnson|SR|RB|7|75|448|5.97|6|10.71|64.00|646|2017
2.0|Tra Minter|SO|RB|7|68|264|3.88|0|9.71|37.71|646|2017
3.0|Denzel Foster|SR|RB|7|23|135|5.87|0|3.29|19.29|646|2017
4.0|Deonta Moore|JR|RB|7|17|58|3.41|0|2.43|8.29|646|2017
5.0|Evan Orth|JR|QB|2|1|41|41.00|0|0.50|20.50|646|2017
6.0|Dallas Davis|JR|QB|5|34|19|0.56|0|6.80|3.80|646|2017
7.0|Jalin Buie|FR|RB|7|4|19|4.75|0|0.57|2.71|646|2017
8.0|Jamarius Way|JR|WR|7|2|13|6.50|0|0.29|1.86|646|2017
9.0|Carlos Robinson II|SR|RB|7|3|9|3.00|0|0.43|1.29|646|2017
10.0|Tywun Walters|JR|RB|7|3|6|2.00|0|0.43|0.86|646|2017
11.0|Cole Garvin|JR|QB|4|15|-2|-0.13|2|3.75|-0.50|646|2017
12.0|Team|||6|7|-19|-2.71|0|1.17|-3.17|646|2017
|Total|||7|252|991|3.93|8|36.00|141.57|646|2017
|Opponents|||7|223|982|4.40|9|31.86|140.29|646|2017
1.0|Ty'Son Williams|SO|RB|7|60|328|5.47|1|8.57|46.86|648|2017
2.0|Rico Dowdle|SO|RB|7|60|206|3.43|1|8.57|29.43|648|2017
3.0|A.J. Turner|SO|RB|7|34|146|4.29|1|4.86|20.86|648|2017
4.0|Mon Denson|SO|RB|7|12|39|3.25|0|1.71|5.57|648|2017
5.0|Deebo Samuel|JR|WR|3|2|30|15.00|1|0.67|10.00|648|2017
6.0|Hayden Hurst|JR|TE|7|4|18|4.50|1|0.57|2.57|648|2017
7.0|Jake Bentley|SO|QB|7|37|14|0.38|0|5.29|2.00|648|2017
8.0|Bryan Edwards|SO|WR|7|1|11|11.00|0|0.14|1.57|648|2017
9.0|Randrecous Davis|FR|WR|6|1|1|1.00|0|0.17|0.17|648|2017
10.0|Team|||5|4|-17|-4.25|0|0.80|-3.40|648|2017
|Total|||7|215|776|3.61|5|30.71|110.86|648|2017
|Opponents|||7|267|994|3.72|8|38.14|142.00|648|2017
1.0|Darius Tice|SR|RB|7|103|634|6.16|9|14.71|90.57|651|2017
2.0|Quinton Flowers|SR|QB|7|115|613|5.33|7|16.43|87.57|651|2017
3.0|D'Ernest Johnson|SR|RB|7|129|569|4.41|5|18.43|81.29|651|2017
4.0|Trevon Sands|SO|RB|7|26|111|4.27|0|3.71|15.86|651|2017
5.0|Marquez Valdes-Scantling|SR|WR|7|6|103|17.17|1|0.86|14.71|651|2017
6.0|Deangelo Antoine|SO|WR|5|4|58|14.50|0|0.80|11.60|651|2017
7.0|Davion Sutton|JR|RB|5|10|47|4.70|0|2.00|9.40|651|2017
8.0|Elijah Mack|FR|RB|3|3|10|3.33|0|1.00|3.33|651|2017
9.0|Chris Oladokun|FR|QB|2|1|1|1.00|0|0.50|0.50|651|2017
10.0|Chris Barr|JR|WR|5|1|-1|-1.00|0|0.20|-0.20|651|2017
11.0|Brett Kean|SO|QB|5|4|-2|-0.50|0|0.80|-0.40|651|2017
12.0|Team|||5|5|-7|-1.40|0|1.00|-1.40|651|2017
|Total|||7|407|2136|5.25|22|58.14|305.14|651|2017
|Opponents|||7|238|661|2.78|7|34.00|94.43|651|2017
1.0|Ito Smith|SR|RB|7|132|781|5.92|7|18.86|111.57|664|2017
2.0|Tez Parks|JR|RB|4|28|137|4.89|0|7.00|34.25|664|2017
3.0|Keon Howard|SO|QB|6|39|122|3.13|0|6.50|20.33|664|2017
4.0|T'Rod Daniels|JR|RB|7|16|88|5.50|1|2.29|12.57|664|2017
5.0|Kwadra Griggs|JR|QB|4|36|71|1.97|1|9.00|17.75|664|2017
6.0|Allenzae Staggers|SR|WR|7|4|63|15.75|0|0.57|9.00|664|2017
7.0|Andre Hale II|FR|RB|1|6|33|5.50|0|6.00|33.00|664|2017
8.0|Jaylond Adams|FR|WR|7|4|27|6.75|0|0.57|3.86|664|2017
9.0|Collin Kilcrease|JR|RB|6|5|20|4.00|0|0.83|3.33|664|2017
10.0|Raymond Smith, Jr.|SO|RB|1|1|2|2.00|0|1.00|2.00|664|2017
11.0|Briggs Bourgeois|FR|K|7|1|-1|-1.00|0|0.14|-0.14|664|2017
12.0|Isaiah Jones|SR|WR|7|1|-2|-2.00|0|0.14|-0.29|664|2017
13.0|Team|||3|6|-22|-3.67|0|2.00|-7.33|664|2017
|Total|||7|279|1319|4.73|9|39.86|188.43|664|2017
|Opponents|||7|233|812|3.48|8|33.29|116.00|664|2017
1.0|Bryce Love|JR|RB|7|135|1387|10.27|11|19.29|198.14|674|2017
2.0|Cameron Scarlett|JR|RB|7|41|217|5.29|6|5.86|31.00|674|2017
3.0|Trevor Speights|SO|RB|4|10|62|6.20|0|2.50|15.50|674|2017
4.0|K.J. Costello|SO|QB|5|5|59|11.80|2|1.00|11.80|674|2017
5.0|Connor Wedington|FR|WR|7|2|52|26.00|0|0.29|7.43|674|2017
6.0|Dorian Maddox|SO|RB|7|12|37|3.08|0|1.71|5.29|674|2017
7.0|Jake Bailey|JR|P|7|1|17|17.00|0|0.14|2.43|674|2017
8.0|Ryan Burns|SR|QB|5|5|9|1.80|0|1.00|1.80|674|2017
9.0|Keller Chryst|SR|QB|6|14|-4|-0.29|1|2.33|-0.67|674|2017
10.0|Team|||5|9|-25|-2.78|0|1.80|-5.00|674|2017
|Total|||7|234|1811|7.74|20|33.43|258.71|674|2017
|Opponents|||7|272|1368|5.03|9|38.86|195.43|674|2017
1.0|Eric Dungey|JR|QB|8|121|486|4.02|8|15.13|60.75|688|2017
2.0|Dontae Strickland|JR|RB|8|109|403|3.70|3|13.63|50.38|688|2017
3.0|Moe Neal|SO|RB|8|42|196|4.67|1|5.25|24.50|688|2017
4.0|Markenzy Pierre|FR|RB|7|15|63|4.20|0|2.14|9.00|688|2017
5.0|Sean Riley|SO|WR|8|4|47|11.75|0|0.50|5.88|688|2017
6.0|Chris Elmore|FR|RB|8|17|47|2.76|0|2.13|5.88|688|2017
7.0|Ervin Philips|SR|WR|8|5|39|7.80|0|0.63|4.88|688|2017
8.0|Tyrone Perkins|JR|RB|5|8|18|2.25|0|1.60|3.60|688|2017
9.0|Devin C. Butler|SO|WR|8|2|14|7.00|0|0.25|1.75|688|2017
10.0|Zack Mahoney|SR|QB|5|4|4|1.00|0|0.80|0.80|688|2017
11.0|Rex Culpepper|FR|QB|8|1|-4|-4.00|0|0.13|-0.50|688|2017
12.0|Nykeim Johnson|FR|WR|7|1|-5|-5.00|0|0.14|-0.71|688|2017
13.0|Team|||5|5|-31|-6.20|0|1.00|-6.20|688|2017
|Total|||8|334|1277|3.82|12|41.75|159.63|688|2017
|Opponents|||8|265|1038|3.92|12|33.13|129.75|688|2017
1.0|Darius Anderson|SO|RB|7|91|532|5.85|6|13.00|76.00|698|2017
2.0|Kyle Hicks|SR|RB|5|60|314|5.23|1|12.00|62.80|698|2017
3.0|Sewo Olonilua|SO|RB|7|37|160|4.32|6|5.29|22.86|698|2017
4.0|Kenny Hill|SR|QB|7|42|116|2.76|2|6.00|16.57|698|2017
5.0|Shawn Robinson|FR|QB|4|12|69|5.75|0|3.00|17.25|698|2017
