2.0|Zach Smith|FR|QB|10|196|116|59.2|1526|7.8|13|7|139.33|19.6|152.6|51|2016
3.0|Terence Williams|SO|RB|12|1|1|100.0|0|0.0|0|0|100.0|0.1|0.0|51|2016
4.0|Zack Bennema|FR|QB|1|1|0|0.0|0|0.0|0|0|0.0|1.0|0.0|51|2016
5.0|Preston Heard|FR|QB|3|1|0|0.0|0|0.0|0|0|0.0|0.3|0.0|51|2016
6.0|Team|||6|1|0|0.0|0|0.0|0|0|0.0|0.2|0.0|51|2016
7.0|Blake Lynch|FR|WR|11|1|0|0.0|0|0.0|0|0|0.0|0.1|0.0|51|2016
8.0|Ishmael Zamora|SO|WR|10|1|0|0.0|0|0.0|0|0|0.0|0.1|0.0|51|2016
|Total|||13|480|269|56.0|3652|7.6|33|15|136.39|36.9|280.9|51|2016
|Opponents|||13|412|226|54.9|2992|7.3|17|12|123.64|31.7|230.2|51|2016
1.0|Brett Rypien|SO|QB|13|394|244|61.9|3646|9.3|24|8|155.7|30.3|280.5|66|2016
2.0|Thomas Sperbeck|SR|WR|13|3|3|100.0|92|30.7|3|0|687.6|0.2|7.1|66|2016
3.0|Cedrick Wilson|JR|WR|13|2|2|100.0|84|42.0|1|0|617.8|0.2|6.5|66|2016
4.0|Thomas Stuart|JR|QB|3|5|3|60.0|50|10.0|0|0|144.0|1.7|16.7|66|2016
5.0|Ben Weaver|SR|LB|13|1|1|100.0|6|6.0|0|0|150.4|0.1|0.5|66|2016
6.0|Team|||6|1|0|0.0|0|0.0|0|0|0.0|0.2|0.0|66|2016
|Total|||13|406|253|62.3|3878|9.6|28|8|161.38|31.2|298.3|66|2016
|Opponents|||13|442|268|60.6|2769|6.3|19|7|124.28|34.0|213.0|66|2016
1.0|Patrick Towles|SR|QB|13|273|138|50.5|1730|6.3|12|7|113.16|21.0|133.1|67|2016
2.0|Darius Wade|SO|QB|9|19|9|47.4|100|5.3|0|1|81.05|2.1|11.1|67|2016
3.0|Jeff Smith|SO|WR|13|2|2|100.0|25|12.5|1|0|370.0|0.2|1.9|67|2016
4.0|Davon Jones|FR|RB|13|2|1|50.0|14|7.0|1|0|273.8|0.2|1.1|67|2016
|Total|||13|296|150|50.7|1869|6.3|14|8|113.92|22.8|143.8|67|2016
|Opponents|||13|381|213|55.9|2673|7.0|28|12|132.79|29.3|205.6|67|2016
1.0|James Morgan|FR|QB|12|326|183|56.1|2082|6.4|16|15|116.79|27.2|173.5|71|2016
2.0|James Knapke|SR|QB|6|119|59|49.6|636|5.3|3|9|87.67|19.8|106.0|71|2016
3.0|Josh Cleveland|JR|RB|11|1|0|0.0|0|0.0|0|0|0.0|0.1|0.0|71|2016
4.0|Joseph Davidson|JR|P|12|1|0|0.0|0|0.0|0|1|-200.0|0.1|0.0|71|2016
5.0|Ronnie Moore|SR|WR|12|2|1|50.0|-5|-2.5|0|0|29.0|0.2|-0.4|71|2016
|Total|||12|449|243|54.1|2713|6.0|19|25|107.7|37.4|226.1|71|2016
|Opponents|||12|380|243|63.9|3280|8.6|32|9|159.51|31.7|273.3|71|2016
1.0|Tyree Jackson|FR|QB|10|311|165|53.1|1772|5.7|9|9|104.68|31.1|177.2|86|2016
2.0|Grant Rohach|SR|QB|9|84|46|54.8|628|7.5|2|2|120.66|9.3|69.8|86|2016
3.0|Jordan Johnson|SR|RB|12|1|1|100.0|6|6.0|0|0|150.4|0.1|0.5|86|2016
4.0|Drew Anderson|SO|QB|1|1|0|0.0|0|0.0|0|0|0.0|1.0|0.0|86|2016
|Total|||12|397|212|53.4|2406|6.1|11|11|107.9|33.1|200.5|86|2016
|Opponents|||12|284|163|57.4|2178|7.7|15|5|135.72|23.7|181.5|86|2016
1.0|Davis Webb|SR|QB|12|620|382|61.6|4295|6.9|37|12|135.62|51.7|357.9|107|2016
2.0|Dylan Klumph|SO|P|12|1|1|100.0|11|11.0|0|0|192.4|0.1|0.9|107|2016
|Total|||12|621|383|61.7|4306|6.9|37|12|135.73|51.8|358.8|107|2016
|Opponents|||12|395|236|59.7|2945|7.5|30|11|141.87|32.9|245.4|107|2016
1.0|Cooper Rush|SR|QB|13|465|278|59.8|3540|7.6|23|16|133.18|35.8|272.3|129|2016
2.0|Jonathan Ward|FR|RB|8|2|1|50.0|31|15.5|0|0|180.2|0.3|3.9|129|2016
3.0|Jack Sheldon|SO|P|12|1|1|100.0|18|18.0|0|0|251.2|0.1|1.5|129|2016
4.0|Jesse Kroll|SR|WR|4|2|0|0.0|0|0.0|0|0|0.0|0.5|0.0|129|2016
5.0|Brandon Childress|FR|WR|11|1|0|0.0|0|0.0|0|0|0.0|0.1|0.0|129|2016
|Total|||13|471|280|59.4|3589|7.6|23|16|132.78|36.2|276.1|129|2016
|Opponents|||13|414|248|59.9|2898|7.0|33|13|138.72|31.8|222.9|129|2016
1.0|Hasaan Klugh|SO|QB|11|224|120|53.6|1356|6.1|10|3|116.47|20.4|123.3|458|2016
2.0|Kevin Olsen|JR|QB|6|175|87|49.7|842|4.8|6|3|98.01|29.2|140.3|458|2016
3.0|Matt Johnson|SR|RB|11|8|5|62.5|112|14.0|1|0|221.35|0.7|10.2|458|2016
4.0|Lee McNeill|SR|QB|11|6|2|33.3|3|0.5|0|0|37.53|0.5|0.3|458|2016
|Total|||12|413|214|51.8|2313|5.6|17|6|109.53|34.4|192.8|458|2016
|Opponents|||12|496|310|62.5|3718|7.5|29|16|138.32|41.3|309.8|458|2016
1.0|Hayden Moore|SO|QB|7|255|146|57.3|1744|6.8|11|7|123.46|36.4|249.1|140|2016
2.0|Gunner Kiel|SR|QB|7|127|66|52.0|804|6.3|6|2|117.59|18.1|114.9|140|2016
